Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
108,Exit long,2026-02-06 09:50,Exit,24910.5,10,4986300,-4212.4,-0.08,12.4,10493.8,0.21,-5056.2,-0.10,264660.8,529.32,1
108,Entry long,2026-02-06 09:45,ORB long,24931.5,10,4986300,-4212.4,-0.08,12.4,10493.8,0.21,-5056.2,-0.10,264660.8,529.32,1
109,Exit long,2026-02-09 09:50,Exit,25106.25,10,5034450,-13212.4,-0.26,12.4,443.8,0.01,-13206.2,-0.26,251448.4,502.90,1
109,Entry long,2026-02-09 09:45,ORB long,25172.25,10,5034450,-13212.4,-0.26,12.4,443.8,0.01,-13206.2,-0.26,251448.4,502.90,1
110,Exit short,2026-02-10 09:50,Exit,25340.5,10,5055750,-12362.4,-0.24,12.4,1043.8,0.02,-12356.2,-0.24,239086,478.17,1
110,Entry short,2026-02-10 09:45,ORB short,25278.75,10,5055750,-12362.4,-0.24,12.4,1043.8,0.02,-12356.2,-0.24,239086,478.17,1
111,Exit short,2026-02-11 10:10,Exit,25194.5,10,5061050,22137.6,0.44,12.4,22143.8,0.44,-7606.2,-0.15,261223.6,522.45,3
111,Entry short,2026-02-11 09:55,ORB short,25305.25,10,5061050,22137.6,0.44,12.4,22143.8,0.44,-7606.2,-0.15,261223.6,522.45,3
112,Exit short,2026-02-16 09:50,Exit,24745.5,10,4945450,-3662.4,-0.07,12.4,0,0.00,-3656.2,-0.07,257561.2,515.12,1
112,Entry short,2026-02-16 09:45,ORB short,24727.25,10,4945450,-3662.4,-0.07,12.4,0,0.00,-3656.2,-0.07,257561.2,515.12,1
113,Exit long,2026-02-25 10:15,Exit,25298.25,10,5063800,-4162.4,-0.08,12.4,8543.8,0.17,-4156.2,-0.08,253398.8,506.80,6
113,Entry long,2026-02-25 09:45,ORB long,25319,10,5063800,-4162.4,-0.08,12.4,8543.8,0.17,-4156.2,-0.08,253398.8,506.80,6
114,Exit short,2026-02-26 10:10,Exit,25067,10,5046050,32637.6,0.65,12.4,32643.8,0.65,-4806.2,-0.10,286036.4,572.07,5
